model,split,MAE,RMSE,R2
baseline_mean,validation,10.128718438146729,25.25162110540034,-0.0002559880443284701
ridge,validation,6.088952162539943,22.998048453594084,0.17031239740204407
random_forest,validation,5.059206202981023,22.735516868532606,0.1891466873457408
hist_gbm,validation,4.738679960775668,22.282606324503625,0.2211306631519897
hist_gbm_FINAL,test,4.361049564479627,21.5449054526988,0.25675980505348417
