model,split,MAE,RMSE,R2
baseline_mean,validation,12.034285321561864,18.022555304029698,-0.0032053238551528196
ridge,validation,5.439110952380605,10.989305580418103,0.6270096511988499
random_forest,validation,4.647082247742584,9.604485942107017,0.7150915402357266
hist_gbm,validation,4.620861144201889,10.008886523013588,0.6905940755057427
hist_gbm_FINAL,test,4.49472432094968,10.014496793464353,0.7008582633024032
